,comment,target
89,"At first the course is hands on, later on it becomes more of theory. This would have been a challenging course if we had more harder graph problems to solve though.","{'cours': ['course'], 'theori': ['theory'], 'graph problem': ['graph problems']}"
90,"The content is just amazing, and the teachers are so awesome prompted me to do more courses from UCSD","{'content': ['content'], 'teacher': ['teachers'], 'cours': ['courses'], 'ucsd': ['UCSD']}"
91,Amazing beginner course to learn about the Graph data structure.,"{'beginn cours': ['beginner course'], 'graph data structur': ['Graph data structure']}"
92,The content of the course is great. By having the concept challenges and real world tie-ins the professors ensure you've absorbed the concepts. ,"{'content': ['content'], 'cours': ['course'], 'concept challeng': ['concept challenges'], 'world tie-in': ['world tie-ins'], 'professor': ['professors'], 'concept': ['concepts']}"
93,"Great courser, challenging assignment, but learnt a lot","{'courser': ['courser'], 'assign': ['assignment'], 'lot': ['lot']}"
94,In Depth Course..,{'depth cours': ['Depth Course']}
95,Nice concrete course to take. Good info about graphs as a whole. Enjoyed it. ,"{'cours': ['course'], 'info': ['info'], 'graph': ['graphs'], 'whole': ['whole']}"
96,Good use of data structures.,"{'use': ['use'], 'data structur': ['data structures']}"
97,Great course.,{'cours': ['course']}
98,"The course is really way to easy. It could be done all in one day, definitely not worth 80$. ","{'cours': ['course'], 'way': ['way']}"
99,"Challenging and fun. So glad I took this course. Made some cool changes for the extension, but I'll keep working on it just for fun!","{'fun': ['fun'], 'cours': ['course'], 'chang': ['changes'], 'extens': ['extension']}"
100,good course on Graph ,"{'cours': ['course'], 'graph': ['Graph']}"
101,Very useful ,{}
102,Course was well paced. Assignments were relevant. Only shortcoming I believe was that the last two weeks of the course did not require any submission of a coding assignment. Only required a quiz. I feel that the course would benefit from a requirement to submit some code each week.,"{'cours': ['Course', 'course'], 'assign': ['Assignments', 'assignment'], 'shortcom': ['shortcoming'], 'week': ['weeks', 'week'], 'submiss': ['submission'], 'quiz': ['quiz'], 'requir': ['requirement'], 'code': ['code']}"
103,I recommend it. It 'a complete course and allows you to explore the use of data structures with Java.,"{'cours': ['course'], 'use': ['use'], 'data structur': ['data structures'], 'java': ['Java']}"
104,Its awesome one,{'one': ['one']}
105,"Very informative and learning experience. This is first time I have attended any online course. This course and coaches in the course explained things so nicely that I felt it like sitting in a class room. Entire team deserves a BIG applaud for conducting such a nice session. Course content was nicely designed and brilliantly explained. Its really worth appearing in this course. Thank you UC, San Diego !!!","{'experi': ['experience'], 'time': ['time'], 'onlin': ['online'], 'cours': ['course'], 'coach': ['coaches'], 'thing': ['things'], 'class room': ['class room'], 'team': ['team'], 'big': ['BIG'], 'session': ['session'], 'cours content': ['Course content'], 'uc': ['UC']}"
106,"Easy to Understand. Beautiful Course. Interesting Assignments and Quiz. Will help in my Career. Good Job by Google Engineers ,Coursera Team and the University.","{'easi': ['Easy'], 'understand': ['Understand'], 'cours': ['Course'], 'assign': ['Assignments'], 'quiz': ['Quiz'], 'career': ['Career'], 'job': ['Job'], 'googl engin': ['Google Engineers'], 'coursera team': ['Coursera Team']}"
107,Amazing course. I have learned a lot ,"{'cours': ['course'], 'lot': ['lot']}"
