,comment,target
28,"Concepts are explained in a rather structured way and hands-on with Neo4j are interesting.The last part with GraphX is pure copy-paste of orders, it is disappointing and not a good way to practive.","{'concept': ['Concepts'], 'way': ['way'], 'neo4j': ['Neo4j'], 'interesting.th part': ['interesting.The part'], 'graphx': ['GraphX'], 'copy-past': ['copy-paste'], 'order': ['orders']}"
29,"Very good material, very good Neo4j hands on for new comers. The critique goes to the coverage of GraphX hands on which, at least to me, is not explained clear enough","{'materi': ['material'], 'neo4j hand': ['Neo4j hands'], 'comer': ['comers'], 'graphx hand': ['GraphX hands']}"
30,I enjoyed this course and learned a great deal.,"{'cours': ['course'], 'deal': ['deal']}"
31,"This course was excellent as an introduction to Graph Analytics and using Neo4j. Not only did I learn a lot, I've been given tasks related to what I've learned in this course after finishing it.","{'cours': ['course'], 'introduct': ['introduction'], 'graph analyt': ['Graph Analytics'], 'neo4j': ['Neo4j'], 'lot': ['lot'], 'task': ['tasks']}"
32,Another good and interesting course but the total lack of engagement by the course team and community mentors makes it hard going. ,"{'cours': ['course'], 'lack': ['lack'], 'engag': ['engagement'], 'cours team': ['course team'], 'communiti mentor': ['community mentors']}"
33,"The professor is well spoken and the class started out very well. But by the final section the hands on example were simply cut-paste with no explanation of what we were doing or how it worked. It's not the fault of the professor but this course and the Big Data specialization attempts to cover too much information. Graph Analytics should be its own 6 course specialization. But really, to understand graph analytics one should be spending a great deal of time with the subject. Perhaps online courses are not the way to understand such a complex subject.","{'professor': ['professor'], 'class': ['class'], 'section': ['section'], 'hand': ['hands'], 'exampl': ['example'], 'explan': ['explanation'], 'fault': ['fault'], 'cours': ['courses', 'course'], 'big data special': ['Big Data specialization'], 'inform': ['information'], 'graph analyt': ['graph analytics', 'Graph Analytics'], 'cours special': ['course specialization'], 'deal': ['deal'], 'time': ['time'], 'subject': ['subject'], 'way': ['way'], 'complex subject': ['complex subject']}"
34,Wonderful course.,{'cours': ['course']}
35,"I was unhappy with this. It was clear that this course was pulled together from a superset of other material, and that it was not checked for consistency or completeness. The students were tested on their ability to write down a specific phrase from a video rather than on application of the principles learned from utilization of the graph database tools. Broccoli -- REALLY??? Further, the lack of response to questions posted in the forum indicates a lack of engagement from instructors and or facilitators.","{'cours': ['course'], 'superset': ['superset'], 'materi': ['material'], 'consist': ['consistency'], 'complet': ['completeness'], 'phrase': ['phrase'], 'video': ['video'], 'applic': ['application'], 'principl': ['principles'], 'util': ['utilization'], 'lack': ['lack'], 'respons': ['response'], 'question': ['questions'], 'engag': ['engagement'], 'instructor': ['instructors'], 'facilit': ['facilitators']}"
36,Need to include more student project design in the course,"{'student project design': ['student project design'], 'cours': ['course']}"
37,Excellent.,{}
38,First week of 3 min video. Seriously we want to dive into the subject. And the last two weeks should have more content. Felt like much more copy and paste without understanding why you did that. Understand this should be introduction to Big Data... But the price you pay for the introduction is too expensive. ,"{'week': ['weeks', 'week'], 'min video': ['min video'], 'dive': ['dive'], 'subject': ['subject'], 'copi': ['copy'], 'introduct': ['introduction'], 'big data': ['Big Data'], 'price': ['price']}"
39,Nice love it.... the best in bigdata,{'love': ['love']}
40,best course of the series,"{'cours': ['course'], 'seri': ['series']}"
41,"Maybe the best course of all the specialisation. Good balance between theory and hand-ons. I would give the fifth star with more details and explanations in some hand-ons mainly the ones from the last lesson In summary, a good introductory course to graph analysis.","{'cours': ['course'], 'specialis': ['specialisation'], 'balanc': ['balance'], 'theori': ['theory'], 'hand-on': ['hand-ons'], 'star': ['star'], 'detail': ['details'], 'explan': ['explanations'], 'one': ['ones'], 'lesson': ['lesson'], 'summari': ['summary'], 'graph analysi': ['graph analysis']}"
