,comment,target
200,"The concepts are well explained and precise. I think it depends on the individual to dive deeper into the topic by independent learning. Good data examples. Also following the suggested book of the author helps with some extra excercises. However , I feel extra practice questions would help ","{'concept': ['concepts'], 'dive': ['dive'], 'topic': ['topic'], 'learn': ['learning'], 'data exampl': ['data examples'], 'book': ['book'], 'excercis': ['excercises'], 'practic question': ['practice questions']}"
201,"Good foundation in the Data Science Certification for Practical Machine Learning. There are 3 areas that I would like to dig deeper so far Statistical Inference, Regression Models and Practical Machine Learning perhaps + Deep Learning ","{'foundat': ['foundation'], 'data scienc certif': ['Data Science Certification'], 'practic machin learn': ['Practical Machine Learning'], 'infer': ['Inference'], 'regress model': ['Regression Models'], '+ deep learn': ['+ Deep Learning']}"
202,Lots of material needs additional study from different sources as it's only summarily explained. Much math without the link to the praxis - ,"{'lot': ['Lots'], 'materi': ['material'], 'studi': ['study'], 'sourc': ['sources'], 'math': ['math'], 'link': ['link']}"
203,Very Challenging CourseVery well presented Great material source of information for study Loved It !,"{'courseveri': ['CourseVery'], 'materi sourc': ['material source'], 'inform': ['information'], 'studi': ['study']}"
204,"In-depth and detailed, this one month course will provide aspirants with the knowledge and skills required to conduct efficient regressions.","{'month': ['month'], 'cours': ['course'], 'aspir': ['aspirants'], 'knowledg': ['knowledge'], 'skill': ['skills'], 'regress': ['regressions']}"
205,"Once again an excellent course, thank you!",{'cours': ['course']}
206,"A very intense course, where a lot of concepts are introduced. In order for all the new information to be metabolized, it took me much more than four weeks.","{'cours': ['course'], 'lot': ['lot'], 'concept': ['concepts'], 'order': ['order'], 'inform': ['information'], 'week': ['weeks']}"
207,"This course has been the most difficult in the Dara Science track so far, but you get a more in depth knowledge in data analysis and interpretation based on statistical models.","{'cours': ['course'], 'dara scienc track': ['Dara Science track'], 'depth knowledg': ['depth knowledge'], 'data analysi': ['data analysis'], 'interpret': ['interpretation'], 'model': ['models']}"
208,"This course was an improvement in teaching modality from the statistical inference course, with more polished content, but the link between the lectures and the actual exercises was still a bit strained. Overall, it felt like there was a bit of a disconnect between the swirl exercises and the lectures, and this led to a lot of self-teaching.","{'cours': ['course'], 'improv': ['improvement'], 'teach modal': ['teaching modality'], 'infer cours': ['inference course'], 'content': ['content'], 'link': ['link'], 'exercis': ['exercises'], 'bit': ['bit'], 'swirl exercis': ['swirl exercises'], 'lot': ['lot']}"
209,Many things are not clear enough in multivariable regression part.,"{'thing': ['things'], 'regress part': ['regression part']}"
