,comment,target
57,"Having no experience in cyber security, this course is helping me understand the basics of cyber security so that I may advance in Cyber forensics. I highly recommend it.","{'experi': ['experience'], 'cyber secur': ['cyber security'], 'cours': ['course'], 'basic': ['basics'], 'cyber forens': ['Cyber forensics']}"
58,"This course is very interesting and actualized. My unique problem is about the certificate, I need information about the quantity of hours duration.","{'cours': ['course'], 'problem': ['problem'], 'certif': ['certificate'], 'inform': ['information'], 'quantiti': ['quantity']}"
59,Great information on cyber conflicts and the psychology of cyber conflict and warfare. ,"{'inform': ['information'], 'cyber conflict': ['cyber conflict', 'cyber conflicts'], 'psycholog': ['psychology'], 'warfar': ['warfare']}"
60, it was interesting to learn about the dynamics of the Internet and how it is used for villainous purposes.,"{'dynam': ['dynamics'], 'internet': ['Internet'], 'purpos': ['purposes']}"
61,"Excellent instructors, very interesting subject and great learning experience. Highly recommended Course for those aiming to master this subject.","{'instructor': ['instructors'], 'subject': ['subject'], 'learn experi': ['learning experience'], 'cours': ['Course']}"
62,awesome course I learned a great ,{'cours': ['course']}
63,"It's a great course, I've learned a lot. ","{'cours': ['course'], 'lot': ['lot']}"
64,This course is informative and deals with the subject on a basic level so that we can use these lessons to understand and study further.,"{'cours': ['course'], 'deal': ['deals'], 'subject': ['subject'], 'level': ['level'], 'lesson': ['lessons']}"
65,"Hello, I found difficult to understand the speakers and it was too massive.",{'speaker': ['speakers']}
66,"A very interesting and comprehensive basic course on cyber warfare and cyber conflict and how they are will impact our lives in the future. The course provides a good view of cyber threats related to the political, economic, diplomatic realms of nowadays international relations.","{'cours': ['course'], 'cyber warfar': ['cyber warfare'], 'cyber conflict': ['cyber conflict'], 'live': ['lives'], 'futur': ['future'], 'view': ['view'], 'cyber threat': ['cyber threats'], 'realm': ['realms'], 'relat': ['relations']}"
67,"Much of the literature was unavailable which I think is a downside. Also, while interesting, the topics were covered only superficially and I felt that that questions during the videos and at the end of the module were very easy and did not challenge the participant to think or research.","{'literatur': ['literature'], 'topic': ['topics'], 'question': ['questions'], 'video': ['videos'], 'end': ['end'], 'particip': ['participant']}"
68,Fantastic course.,{'cours': ['course']}
69,"good insight on fundamentals on cyber conflicts, for b","{'insight': ['insight'], 'fundament': ['fundamentals'], 'cyber conflict': ['cyber conflicts'], 'b': ['b']}"
70,nice course. however would have liked more specific examples of cyber conflicts along with how they were resolved to each country's satisfaction if there are any such examples to look at Thank you to you all for putting this course together.,"{'cours': ['course'], 'exampl': ['examples'], 'cyber conflict': ['cyber conflicts'], 'countri': ['country']}"
71,"It's Ok, nothing much to gain iin terms of knowledge realted to cyber conflict.","{'ok': ['Ok'], 'noth': ['nothing'], 'iin term': ['iin terms'], 'knowledg': ['knowledge'], 'conflict': ['conflict']}"
72,The course was alright,{'cours': ['course']}
73,"I like the comparisons between past physical wars and current cyberwar. However, the course take the long way to explain very basic elements of nations interactions and trust.","{'comparison': ['comparisons'], 'war': ['wars'], 'cyberwar': ['cyberwar'], 'cours': ['course'], 'way': ['way'], 'element': ['elements'], 'nation interact': ['nations interactions'], 'trust': ['trust']}"
74,"The videos were not always easy to understand because of the unclear pronouncing of the key speaker. Also although most of the tests were easy to complete, the ones that you had to write the answer down instead of only choosing the correct answer, were hard since if one word you wrote was wrong you lost the question. ","{'video': ['videos'], 'pronounc': ['pronouncing'], 'speaker': ['speaker'], 'test': ['tests'], 'one': ['ones'], 'answer': ['answer'], 'word': ['word'], 'question': ['question']}"
75,It gives you an interesting visions about hot subjects and provides with sources to go deeper. Maybe a course to short on each topic covered.,"{'vision': ['visions'], 'subject': ['subjects'], 'sourc': ['sources'], 'cours': ['course'], 'topic': ['topic']}"
76,"Pretty good course. While the assessments are pretty much just a repeat of the in-video questions, I feel I was still able to learn a fair amount. ","{'pretti cours': ['Pretty course'], 'assess': ['assessments'], 'repeat': ['repeat'], 'question': ['questions'], 'amount': ['amount']}"
77,Its indeed a plus to my career growth...,{}
78,A detailed course which will give a great insight,"{'cours': ['course'], 'insight': ['insight']}"
79,"Excellent Course, if you want to clear your aspect over International Cyber Conflicts.","{'cours': ['Course'], 'aspect': ['aspect'], 'intern cyber conflict': ['International Cyber Conflicts']}"
80,I enjoyed the course and it ticked the boxes of my expectation.,{'cours': ['course']}
