,comment,target
43,I found the material was good and the instructor was engaging. I appreciate that he tries to make learning hands on. Overall I found this a great introduction to Bootstrap. My only criticism is that at times I felt like I was only copying and pasting code rather than really learning the material. I ended up copying and pasting plenty of tags that are never really mentioned or explained. ,"{'materi': ['material'], 'instructor': ['instructor'], 'hand': ['hands'], 'introduct': ['introduction'], 'bootstrap': ['Bootstrap'], 'critic': ['criticism'], 'time': ['times'], 'copi': ['copying'], 'past code': ['pasting code'], 'past': ['pasting'], 'copi plenti': ['copying plenty'], 'tag': ['tags']}"
44,Very Good Experience,{'experi': ['Experience']}
45,"Good one to start with. Even though it is just basics, but a good foundation.","{'basic': ['basics'], 'foundat': ['foundation']}"
46,This course is really good for anyone who has basic knowledge of any programming language. this will help you to connect dots on how web programming is done for companies and how tools are used to expedite your coding.,"{'cours': ['course'], 'anyon': ['anyone'], 'knowledg': ['knowledge'], 'program languag': ['programming language'], 'web program': ['web programming'], 'compani': ['companies'], 'tool': ['tools'], 'code': ['coding']}"
47,Perfect.,{'perfect': ['Perfect']}
48,great course and the entire specialization is superb,"{'cours': ['course'], 'special': ['specialization']}"
49,"this course in an excellent course , the instructors are well trained and excellent in programing. If i get children I will think a way of sending them to Hong kong to study this university ","{'cours': ['course'], 'instructor': ['instructors'], 'program': ['programing'], 'way': ['way'], 'hong kong': ['Hong kong'], 'univers': ['university']}"
50,"It was a really good course. Some negative comments say things about the instructor speaking slow or do not liking the way exercises are donde following the video The instructor is clearly a non-native english speaker so it is normal that he does not speak it the way most are used to, but you can set the reproduction rate to a higher one.Everything else was just perfect and I really learned a lot.","{'cours': ['course'], 'comment': ['comments'], 'thing': ['things'], 'instructor': ['instructor'], 'way': ['way'], 'exercis': ['exercises'], 'video': ['video'], 'speaker': ['speaker'], 'reproduct rate': ['reproduction rate'], 'one.everyth': ['one.Everything'], 'lot': ['lot']}"
51,I learned a lot in this course. The instructor was clear.,"{'lot': ['lot'], 'cours': ['course'], 'instructor': ['instructor']}"
52,Good Course,{'cours': ['Course']}
53,Excellent course on Bootstrap and responsive web design. Concepts well explained with plenty of good examples. You will definitely learn Bootstrap once you finish this course.,"{'cours': ['course'], 'bootstrap': ['Bootstrap'], 'web design': ['web design'], 'concept': ['Concepts'], 'plenti': ['plenty'], 'exampl': ['examples']}"
54,"great course, rich in vital information for new developers","{'cours': ['course'], 'inform': ['information'], 'develop': ['developers']}"
55,"This course is excellent, and comprehensive.",{'cours': ['course']}
56,Great course,{'cours': ['course']}
57,Awesome Course,{'cours': ['Course']}
58,"A very good course that introduces important topics, tools and techniques","{'cours': ['course'], 'topic': ['topics'], 'tool': ['tools'], 'techniqu': ['techniques']}"
