,comment,target
151,Choosing an actual research question allows you to find a topic of interest. This makes the content more meaningful and accelerates understanding of the concepts.,"{'research question': ['research question'], 'topic': ['topic'], 'interest': ['interest'], 'content': ['content'], 'understand': ['understanding'], 'concept': ['concepts']}"
152,"There is a lot of self-teaching with these courses because there are no professors present to reach out to with questions. In addition, the course staff do not always respond promptly nor are they fully knowledgeable about all aspects of error messages that may arise out of coding. At times the code that were provided in the lecture videos were out of date and a lot of time was spent on googling to find the updated code. This is definitely not a beginner coder course and I do not recommend it to anyone who has not coded before. ","{'lot': ['lot'], 'cours': ['courses'], 'professor': ['professors'], 'question': ['questions'], 'addit': ['addition'], 'cours staff': ['course staff'], 'aspect': ['aspects'], 'time': ['times', 'time'], 'code': ['code'], 'lectur video': ['lecture videos'], 'date': ['date'], 'googl': ['googling'], 'beginn coder cours': ['beginner coder course'], 'anyon': ['anyone']}"
153,"It was good overall, some of the course materials were a bit sparse. You had to do your own research into getting packages working in spyder etc. I'd probably recommend that learners learn some python separately and read the docs for pandas.","{'cours materi': ['course materials'], 'bit': ['bit'], 'research': ['research'], 'spyder etc.': ['spyder etc.'], 'learner': ['learners'], 'python': ['python']}"
154,The course videos are fantastic,{'cours video': ['course videos']}
155,Well done. Thank you.,{}
156,Awesome course. Thanks Prof.,{'cours': ['course']}
157,"Thank you so much for the course! I liked the research project, it game me a lot of interesting knowledge. I thought in the beginning it is pretty easy course but the last assignment took me a while. ","{'cours': ['course'], 'research project': ['research project'], 'lot': ['lot'], 'knowledg': ['knowledge'], 'assign': ['assignment'], 'while': ['while']}"
158,I saw little interactions between students and in the discussion list. But I liked to learn a new language!,"{'interact': ['interactions'], 'student': ['students'], 'discuss list': ['discussion list'], 'languag': ['language']}"
159,V,{}
160,"The course has its positives, but overall does not perform well instructing on the use of the two statistical software offered SAS &amp; Python At the beginning they offer multiple data sets to use and formulate a research question, but all the examples utilize only one data set and do not cover the differences you might face with the other data sets - leading to a lot of missed opportunities. Additionally, the tutorials for using the statistical software do not lend themselves towards a thorough understanding and more to a route learning.","{'cours': ['course'], 'posit': ['positives'], 'use': ['use'], 'softwar': ['software'], 'sas': ['SAS'], 'python': ['Python'], 'data set': ['data set', 'data sets'], 'research question': ['research question'], 'exampl': ['examples'], 'differ': ['differences'], 'lot': ['lot'], 'opportun': ['opportunities'], 'tutori': ['tutorials'], 'understand': ['understanding'], 'rout learn': ['route learning']}"
161,"Very good introductory course on managing, subsetting, and manipulating data with SAS or Python.","{'cours': ['course'], 'manag': ['managing'], 'subset': ['subsetting'], 'data': ['data'], 'sas': ['SAS'], 'python': ['Python']}"
