,comment,target
40,"It?? a geat course, and the teacher shared his knowlege","{'cours': ['course'], 'teacher': ['teacher'], 'knowleg': ['knowlege']}"
41,It's worth to learn!,{}
42," Too much theories ,I hope the professor add more programming assignment.","{'theori': ['theories'], 'professor': ['professor'], 'program assign': ['programming assignment']}"
43,"Very good course, but could have something practical.","{'cours': ['course'], 'someth': ['something']}"
44,"The course was great. What I had a real problem with was the lack of response for problems with the Honors programming assignments. I never received any feedback from the TA's and when I submitted to MeTa support, they said the school design the programs so they can't help. I got a Segmentation Fault on Assignment one which I never did get resolved. Because of this, I was unable to get the Honors status. ","{'cours': ['course'], 'problem': ['problem', 'problems'], 'lack': ['lack'], 'respons': ['response'], 'honor program assign': ['Honors programming assignments'], 'meta support': ['MeTa support'], 'program': ['programs'], 'segment fault': ['Segmentation Fault'], 'assign': ['Assignment']}"
45, Great!,{}
46,excellent material and great explanations! The main problem here is that quizzes will sometimes cover subjects not introduced until the following week. ,"{'materi': ['material'], 'explan': ['explanations'], 'problem': ['problem'], 'quizz': ['quizzes'], 'subject': ['subjects'], 'week': ['week']}"
47,This course is really great but the programming assignments need to be updated. ,"{'cours': ['course'], 'program assign': ['programming assignments']}"
48,thanks,{'thank': ['thanks']}
49,Great course for those trying to understand how ro analyse and process text data. It has the right amount of tools to help you understand the basics of information retrieval and search engines.,"{'cours': ['course'], 'amount': ['amount'], 'tool': ['tools'], 'basic': ['basics'], 'inform retriev': ['information retrieval'], 'search engin': ['search engines']}"
50,Ok. It was a rerun and there wasn't much help in the Forum and there were too few exercises. But it was really interesting.,"{'rerun': ['rerun'], 'help': ['help'], 'forum': ['Forum'], 'exercis': ['exercises']}"
51,Good survey of techniques,"{'survey': ['survey'], 'techniqu': ['techniques']}"
52,A great overview of text retrieval methods. Good coverage of search engines. A longer course will cover search engine better remember this is a 6 weeker ,"{'overview': ['overview'], 'text retriev method': ['text retrieval methods'], 'coverag': ['coverage'], 'search engin': ['search engines', 'search engine'], 'cours': ['course']}"
53,"The videos could not be too longer than they actually are. If this change, could be done, the student or user could have more time to dig into the assignments problems and even read more textbooks related to the main topic.","{'video': ['videos'], 'student': ['student'], 'user': ['user'], 'time': ['time'], 'assign problem': ['assignments problems'], 'textbook': ['textbooks'], 'topic': ['topic']}"
54,"Excellent ! Well organized, presented with aptitude to detail. Definitely will recommend and take further units in this specialization. Thanks Prof","{'aptitud': ['aptitude'], 'detail': ['detail'], 'unit': ['units'], 'special': ['specialization']}"
55,Excellent Introduction to Text Retrieval and Search Engines technologies.,"{'introduct': ['Introduction'], 'retriev': ['Retrieval']}"
56,"This is not a class I would normally pursue. I took it as part of the Data Mining certification. That being said, this class was wonderful. I learned the basics of text retrieval and search engines. I went from knowing nothing, to having a working sense of how search engine algorithms work. It was a challenging course for me, but very much worth the time and effort I put into it. It was like pulling back the curtain on the code behind Google, Netflix, and Amazon searches, and that has made me think of the world in a different way. I am now a human happily collaborating with machine learning systems. Thank you!!","{'class': ['class'], 'basic': ['basics'], 'text retriev': ['text retrieval'], 'search engin': ['search engines'], 'sens': ['sense'], 'search engin algorithm': ['search engine algorithms'], 'cours': ['course'], 'time': ['time'], 'world': ['world'], 'way': ['way'], 'machin learn system': ['machine learning systems']}"
57,Very good course for someone who wants to understand how text retrieval works. ,"{'cours': ['course'], 'someon': ['someone'], 'text retriev': ['text retrieval']}"
58,Great insights in this course... I learned so much!!,"{'insight': ['insights'], 'cours': ['course']}"
