,comment,target
224,Very useful course. Great tutors. ,"{'cours': ['course'], 'tutor': ['tutors']}"
225,good course,{'cours': ['course']}
226,Best course of the programme. Simple and explained well.,"{'cours': ['course'], 'programm': ['programme']}"
227,"This is such a cornerstone topic to the Data Science Specialization that I think it deserves a better designed and more polished curriculum. The subject is so extensive that it might be worthy to split the contents in two courses. Finally, I would like to suggest the authors of the course modeling the curriculum following the amazing treatment of the subject found in Introduction to Statistical Learning by Hastie, Tibshiriani et. al. ","{'cornerston topic': ['cornerstone topic'], 'data scienc special': ['Data Science Specialization'], 'curriculum': ['curriculum'], 'subject': ['subject'], 'content': ['contents'], 'cours': ['course', 'courses'], 'author': ['authors'], 'model': ['modeling'], 'treatment': ['treatment'], 'introduct': ['Introduction'], 'learn': ['Learning'], 'hasti': ['Hastie']}"
228,Jeff Leek is a great professor The delivery of the course material is very clear and covers a lot of predictive methods by using mainly R's caret package. Recommended for sure. ,"{'jeff leek': ['Jeff Leek'], 'professor': ['professor'], 'deliveri': ['delivery'], 'cours materi': ['course material'], 'lot': ['lot'], 'method': ['methods'], 'r': ['R'], 'caret packag': ['caret package']}"
229,"This course was a big let-down compared to other courses in the specialization. It doesn't seem like a lot of effort went into course planning and creation. Much of the content is unclear and there is little depth. course textbook, and some swirl exercises would have helped.","{'cours': ['course', 'courses'], 'let-down': ['let-down'], 'special': ['specialization'], 'lot': ['lot'], 'effort': ['effort'], 'content': ['content'], 'depth': ['depth'], 'cours textbook': ['course textbook'], 'swirl exercis': ['swirl exercises']}"
230,Very good summary of strengths weaknesses of various machine learning algorithms. This lecturer's style and production quality is much higher than in the previous two courses in the specialization series.,"{'summari': ['summary'], 'strength weak': ['strengths weaknesses'], 'machin': ['machine'], 'algorithm': ['algorithms'], 'lectur': ['lecturer'], 'style': ['style'], 'product qualiti': ['production quality'], 'cours': ['courses'], 'special seri': ['specialization series']}"
231,"Good course on the whole, learned a lot and enjoyed it, but it would need to be updated and corrected certain bits of code don't work as they did when the course was produced, which can be pretty confusing Would be nice also to add some more content at the end of the course the lecture about unsupervised prediction felt rushed, and a proper conclusion opening up to the rest of the field would be useful. Anyway thanks again for this wonderful learning opportunity, keep it up ! Cheers","{'cours': ['course'], 'whole': ['whole'], 'lot': ['lot'], 'bit': ['bits'], 'code': ['code'], 'content': ['content'], 'end': ['end'], 'lectur': ['lecture'], 'predict': ['prediction'], 'conclus': ['conclusion'], 'rest': ['rest'], 'field': ['field'], 'thank': ['thanks'], 'learn opportun': ['learning opportunity']}"
232,This course is a good introduction to machine learning algorithms with R,"{'cours': ['course'], 'introduct': ['introduction'], 'machin learn algorithm': ['machine learning algorithms'], 'r': ['R']}"
233,"very good, but if it has swirl practice like th other courses it would be perfect.","{'swirl practic': ['swirl practice'], 'cours': ['courses']}"
234,"So why four stars vs five stars, of all the Data Science Certification courses that I have taken i some of the examples and quiz challenges don't work as they should, ii Machine Learning is rapidly changing area - should be updated to reflect this and perhaps a high level taste of Deep Learning, iii posting the Final Project is overly complicated relative to methods of the other courses - this should be cleaned up - still not clear how point to a github repo link and also have a rendered html page working from that same link - requires two links to present materials and must use default names like index vs. a project name.","{'star': ['stars'], 'scienc certif cours': ['Science Certification courses'], 'exampl': ['examples'], 'quiz challeng': ['quiz challenges'], 'machin learn': ['Machine Learning'], 'area': ['area'], 'level tast': ['level taste'], 'deep learn': ['Deep Learning'], 'final project': ['Final Project'], 'method': ['methods'], 'cours': ['courses'], 'point': ['point'], 'github repo link': ['github repo link'], 'link': ['links', 'link'], 'materi': ['materials'], 'default name': ['default names'], 'project name': ['project name']}"
235,excellent!,{}
236,Very useful course to develop level knowledge in machine learning. ,"{'cours': ['course'], 'level knowledg': ['level knowledge'], 'machin learn': ['machine learning']}"
237,Very good course. The content can be enriched with some more technical details behind the various techniques. There needs to be 1 more course on Practical Machine Learning in the specialization as 1 course is far too less for such a vast topic.,"{'cours': ['course'], 'content': ['content'], 'detail': ['details'], 'techniqu': ['techniques'], 'practic machin learn': ['Practical Machine Learning'], 'special': ['specialization'], 'topic': ['topic']}"
238,"Nice, clear and concise.",{}
239,Instructor rushes the course and does not explain much in the same level of details as respective quiz requires,"{'instructor': ['Instructor'], 'cours': ['course'], 'level': ['level'], 'detail': ['details'], 'quiz': ['quiz']}"
240,"Issues of every stage of the construction of learning machine model, as well as issues with several different machine learning methods are well and in fine yet very understandable detail explained.","{'issu': ['Issues', 'issues'], 'stage': ['stage'], 'construct': ['construction'], 'machin model': ['machine model'], 'machin': ['machine'], 'method': ['methods'], 'detail': ['detail']}"
241,"mentorship was great, but the video lectures were almost useless.","{'mentorship': ['mentorship'], 'video': ['video']}"
242,Great course! The hands-on approach make it very useful for one to start doing some very interesting analysis in real life! Thanks a lot! You guys could only make some efforts in updating some classes and packages used in quizzes. But the rest was great!,"{'cours': ['course'], 'approach': ['approach'], 'analysi': ['analysis'], 'life': ['life'], 'thank': ['Thanks'], 'lot': ['lot'], 'guy': ['guys'], 'effort': ['efforts'], 'class': ['classes'], 'packag': ['packages'], 'quizz': ['quizzes'], 'rest': ['rest']}"
243,Great course,{'cours': ['course']}
