,comment,target
369,"I can see a couple of problems in this course. How to access and change elements in a data frame especially the use of loc and iloc is not explained very well and I believe there is an error in the slides. The second thing is that I have found more powerful methods in pandas documentation, for example assign or nlargest and nsmallest This is not really a problem if one of the hidden purposes is to push students to actively search the docs for what they would like to do.Work load for the assignments is just fine in my opinion, not too little, not too much.Overall I am satisfied. ","{'coupl': ['couple'], 'problem': ['problems', 'problem'], 'cours': ['course'], 'access': ['access'], 'chang element': ['change elements'], 'data frame': ['data frame'], 'use': ['use'], 'loc': ['loc'], 'iloc': ['iloc'], 'error': ['error'], 'slide': ['slides'], 'thing': ['thing'], 'method': ['methods'], 'panda document': ['pandas documentation'], 'exampl': ['example'], 'purpos': ['purposes'], 'student': ['students'], 'do.work load': ['do.Work load'], 'assign': ['assignments'], 'opinion': ['opinion']}"
370,Great hands on course!,"{'hand': ['hands'], 'cours': ['course']}"
371,I learned in this course that pandas is a way deeper rabbit hole than it appears on the surface. However rather than teaching me pandas this course mostly just helped me verify that I was learning pandas. The questions in this class need more scaffolding. I ended up skipping most of the in-video questions because I felt that the work I was investing in getting them correct was not teaching me much. More scaffolding could fix this. ,"{'cours': ['course'], 'way': ['way'], 'rabbit hole': ['rabbit hole'], 'surfac': ['surface'], 'teach': ['teaching'], 'panda': ['pandas'], 'question': ['questions'], 'class': ['class'], 'scaffold': ['scaffolding'], 'work': ['work']}"
372,Tough course if you are new to Python and do not like to browse stackoverflow. Otherwise a great course with challenging assignments.,"{'cours': ['course'], 'python': ['Python'], 'stackoverflow': ['stackoverflow'], 'assign': ['assignments']}"
373,It is not easy for me to complete this course but I learned A LOT! It is truly beneficial if you don't give up. Yes you need to search a lot of python skills online to complete the programming assignment. ,"{'cours': ['course'], 'lot': ['lot', 'LOT'], 'python skill': ['python skills'], 'program assign': ['programming assignment']}"
374,"I'm an experienced data analytics professional re-skilling after being laid off. I really enjoyed this course. Professor Brooks' lectures were engaging and clear. I found the assignments to be great practice, although they were challenging for my level of programming experience.I strongly recommend having some skill with python, particularly pandas, prior to taking this course.","{'data analyt re-skil': ['data analytics re-skilling'], 'cours': ['course'], 'professor brook': ['Professor Brooks'], 'assign': ['assignments'], 'practic': ['practice'], 'level': ['level'], 'program experience.i': ['programming experience.I'], 'skill': ['skill'], 'python': ['python'], 'panda': ['pandas']}"
375,Finding optimal solutions for the assignments would have helped more,"{'solut': ['solutions'], 'assign': ['assignments']}"
376,"Skills acquired when finishing this first course are very useful and applicable. However, lectures and assignments are almost unrelated. This course is nothing for people who are new to python. ","{'skill': ['Skills'], 'cours': ['course'], 'assign': ['assignments'], 'noth': ['nothing'], 'peopl': ['people'], 'python': ['python']}"
377,"The content and the instruction were great just the right level for someone like me with experience in other programming languages a decent familiarity with stats.There were a few glitches with the auto-grader for the assignments, but nothing to onerous.","{'content': ['content'], 'instruct': ['instruction'], 'level': ['level'], 'someon': ['someone'], 'experi': ['experience'], 'program languag': ['programming languages'], 'familiar': ['familiarity'], 'stats.ther': ['stats.There'], 'glitch': ['glitches'], 'auto-grad': ['auto-grader'], 'assign': ['assignments'], 'noth': ['nothing']}"
378,"I found this course useful since I had no previous experience of Pandas or the statistical features of Python. I have programming experience and feel I would have found it quite a challenge otherwise, but not prohibitively so. Chris is great at explaining things in an accessible manner, and I'm very much looking forward to going into more detail in the rest of the specialisation. I would have enjoyed a little more focus on statistics etc and a little less on the mechanics of the library, but understand why it had to be approached this way.","{'cours': ['course'], 'experi': ['experience'], 'panda': ['Pandas'], 'featur': ['features'], 'python': ['Python'], 'program experi': ['programming experience'], 'challeng': ['challenge'], 'chris': ['Chris'], 'thing': ['things'], 'manner': ['manner'], 'detail': ['detail'], 'rest': ['rest'], 'specialis': ['specialisation'], 'statist etc': ['statistics etc'], 'mechan': ['mechanics'], 'librari': ['library'], 'way': ['way']}"
379,"This is the best ever of all courses I took on MOOC. It was well prepared, Clear, fast paced, informational, challenging, and with appropriate exercises. Sometime I had to pool my hair to get things done and spent a lot of time, but it was fun and worthwhile. I thank Christopher Brooks and the team. I","{'cours': ['courses'], 'exercis': ['exercises'], 'thing': ['things'], 'lot': ['lot'], 'time': ['time'], 'fun': ['fun'], 'christoph brook': ['Christopher Brooks'], 'team': ['team']}"
