,comment,target
2058,Great instructor with great presentation methods that make learning course content simple and straight forward. Would recommend to anyone needing to get web basics into their toolbox of skills.,"{'instructor': ['instructor'], 'present method': ['presentation methods'], 'cours content': ['course content'], 'anyon': ['anyone'], 'web basic': ['web basics'], 'toolbox': ['toolbox'], 'skill': ['skills']}"
2059,"Cool, very complete introduction",{'introduct': ['introduction']}
2060,Wonderful course !!!!,{'cours': ['course']}
2061,"Wonderful course! Instruction was helpful, interesting and useful. I highly recommend! ","{'cours': ['course'], 'instruct': ['Instruction']}"
2062,Everything is explained in very elegant way. Overall an awesome course,"{'everyth': ['Everything'], 'way': ['way'], 'cours': ['course']}"
2063,"I enjoyed a lot the course and I think, even if it takes 3 weeks and looks short it isn't, it's very complete and teaches you the basis to grow up by yourself but at the same time to start creating ","{'lot': ['lot'], 'cours': ['course'], 'week': ['weeks'], 'basi': ['basis'], 'time': ['time']}"
2064,"An awesome course! I learned a lot of HTML, CSS and JS. ","{'cours': ['course'], 'lot': ['lot'], 'html': ['HTML'], 'css': ['CSS'], 'js': ['JS']}"
2065,I think your home assignments should be more difficult.,{'home assign': ['home assignments']}
2066,Great course,{'cours': ['course']}
2067,Great course for those beginning web development.,"{'cours': ['course'], 'web develop': ['web development']}"
2068,A great course for beginners but there was too much detail for submitting assignments.,"{'cours': ['course'], 'beginn': ['beginners'], 'detail': ['detail'], 'assign': ['assignments']}"
2069,Basic level.,{'level': ['level']}
2070,Very useful course.,{'cours': ['course']}
2071,Great instructor with useful contests. ,"{'instructor': ['instructor'], 'contest': ['contests']}"
2072,Good overview of all three core web technologies. The price seems a bit high though if you're considering the verified certificate.,"{'overview': ['overview'], 'core web technolog': ['core web technologies'], 'price': ['price'], 'bit': ['bit'], 'certif': ['certificate']}"
2073,Is a good introduction ,{'introduct': ['introduction']}
2074,Excellent course but it would have been better to include some simple exercises to help with learning the javascript,"{'cours': ['course'], 'exercis': ['exercises'], 'javascript': ['javascript']}"
2075,I had fun refreshing the basic concepts of HTML and looking at basic h javascript programs,"{'fun': ['fun'], 'concept': ['concepts'], 'html': ['HTML'], 'h javascript program': ['h javascript programs']}"
2076,its amazing to be a part of this course learnt a lot ,"{'part': ['part'], 'cours': ['course'], 'lot': ['lot']}"
2077,Great introduction to the subject.,"{'introduct': ['introduction'], 'subject': ['subject']}"
2078,A very good entry to front-end web design,"{'entri': ['entry'], 'web design': ['web design']}"
2079,Very good course for greenhand!,"{'cours': ['course'], 'greenhand': ['greenhand']}"
2080,Very balanced and well-paced course,{'cours': ['course']}
2081,Great Basics and hands on assignments to get to know a bit about html and css and play around with javascript,"{'basic': ['Basics'], 'hand': ['hands'], 'assign': ['assignments'], 'bit': ['bit'], 'html': ['html'], 'css': ['css'], 'javascript': ['javascript']}"
2082,Excellent CourseThank you !!!,{'coursethank': ['CourseThank']}
2083,Basic with some level of advance Course for Web Dev,"{'level': ['level'], 'advanc cours': ['advance Course'], 'web dev': ['Web Dev']}"
2084,"Good course, with useful examples and methodology!","{'cours': ['course'], 'exampl': ['examples'], 'methodolog': ['methodology']}"
2085,The course covers basics very well.,"{'cours': ['course'], 'basic': ['basics']}"
2086,Excelent course. Very clear and well structured.,{'cours': ['course']}
2087,Great course!,{'cours': ['course']}
2088,"This course helped expand on my JavaScript knowledge, particularly concerning DOM structure. However, if I had been a beginner in any of these topics, I'm not sure if this course would have been enough. Not much time is spent on clarifying HTML and CSS, i.e., there were a lot of topics untouched. Additionally, while the instructor's videos were excellent, the professor did not participate in course discussions at all. I think there were many times when he should have been available to lend a helping clarifying hand.","{'cours': ['course'], 'javascript knowledg': ['JavaScript knowledge'], 'dom structur': ['DOM structure'], 'beginn': ['beginner'], 'topic': ['topics'], 'time': ['times', 'time'], 'html': ['HTML'], 'css': ['CSS'], 'lot': ['lot'], 'instructor': ['instructor'], 'video': ['videos'], 'professor': ['professor'], 'cours discuss': ['course discussions'], 'hand': ['hand']}"
2089,Really good for the ones who just started also the ones need to refresh their mind.,"{'one': ['ones'], 'mind': ['mind']}"
2090,Good introduction with practice.,"{'introduct': ['introduction'], 'practic': ['practice']}"
2091,good for start ,{'start': ['start']}
2092,"Loved the course, only draw back is that students are marking assignments.","{'cours': ['course'], 'student': ['students'], 'assign': ['assignments']}"
2093,really nice course as an introduction to css and javascript,"{'cours': ['course'], 'introduct': ['introduction'], 'css': ['css'], 'javascript': ['javascript']}"
2094,Very good and easily explained concepts with useful examples. Recommended for newbies as well as experienced programmers for a quick refresh,"{'concept': ['concepts'], 'exampl': ['examples'], 'newbi': ['newbies'], 'programm': ['programmers'], 'refresh': ['refresh']}"
2095,well taught and easily understood,{}
2096,more excercises should be added to the course ,"{'excercis': ['excercises'], 'cours': ['course']}"
2097,"Exercises could have been tougher so that we could reinforce learning material and also try to learn how to search the web to find the solution to a bug.Before a month, all I knew was Javascript was tough.Thanks for making me feel confident programming in Javascript.Thank You.","{'exercis': ['Exercises'], 'materi': ['material'], 'web': ['web'], 'solut': ['solution'], 'bug.befor': ['bug.Before'], 'month': ['month'], 'javascript': ['Javascript'], 'tough.thank': ['tough.Thanks'], 'program': ['programming'], 'javascript.thank': ['Javascript.Thank']}"
2098,Easy to understand and follow. Highly recommended for beginners with no experience about any of these subjects. Practical assignments at the end of every week help me to remember and actually use what I have learnt during the course,"{'easi': ['Easy'], 'beginn': ['beginners'], 'experi': ['experience'], 'subject': ['subjects'], 'practic assign': ['Practical assignments'], 'end': ['end'], 'week': ['week'], 'cours': ['course']}"
2099,"Great course! I've learned a lot and it was fun. Might not be suitable for total beginners, though.","{'cours': ['course'], 'lot': ['lot'], 'fun': ['fun'], 'might': ['Might'], 'beginn': ['beginners']}"
2100,One of the better courses on Coursera! Well done and thank you for sharing knowledge.But we need more of David and his teachingskills!!! MORE!,"{'cours': ['courses'], 'coursera': ['Coursera'], 'knowledge.but': ['knowledge.But'], 'david': ['David'], 'teachingskil': ['teachingskills']}"
2101,"Hello David Rossiter,Thank you very much for this course. It was clear, simple and precise.RegardsAravind","{'david rossit': ['David Rossiter'], 'cours': ['course']}"
2102,Balanced,{}
2103,This course guides learners of various proficiency very well. Dave was very thorough and methodical in his approach. Assignments are of moderate competency to complete with out any difficulties. ,"{'cours': ['course'], 'guid': ['guides'], 'learner': ['learners'], 'profici': ['proficiency'], 'dave': ['Dave'], 'approach': ['approach'], 'assign': ['Assignments'], 'compet': ['competency'], 'difficulti': ['difficulties']}"
2104,"very good for beginners and intermediate programmers to review the concept of HTML, CSS and JavaScript basics! ","{'beginn': ['beginners'], 'programm': ['programmers'], 'concept': ['concept'], 'html': ['HTML'], 'css': ['CSS'], 'javascript basic': ['JavaScript basics']}"
2105,Well explained course and good for the beginners.,"{'cours': ['course'], 'beginn': ['beginners']}"
2106,This is an excellent course. Thank you! ,{'cours': ['course']}
2107,Nice introduction to the subject. Teacher and presentations were easy to understand and not too dry. Homework assignments were interesting and peer reviewing other people's submissions helped get pointers on what I could've done better.,"{'introduct': ['introduction'], 'subject': ['subject'], 'teacher': ['Teacher'], 'present': ['presentations'], 'homework assign': ['Homework assignments'], 'peopl': ['people'], 'submiss': ['submissions']}"
2108,Great course!,{'cours': ['course']}
2109,"This is a very good introductive course. It's easy to follow, it's explicative and offers extra resources to complement the contents and deep.","{'cours': ['course'], 'resourc': ['resources'], 'content': ['contents']}"
2110,"Overall it's a good intro if you know nothing or very little about those topics.That said, the class is too slow.Homework is too easy and boring. It's all about following very specific long instructions - put this line of JS here, create a function called Foo, etc.Grading is done by peers, even though it could be automated. Participation requires running arbitrary JS written by other students.","{'intro': ['intro'], 'topics.that': ['topics.That'], 'class': ['class'], 'instruct': ['instructions'], 'line': ['line'], 'js': ['JS'], 'function': ['function'], 'peer': ['peers'], 'particip': ['Participation'], 'student': ['students']}"
2111,"Course was what I expected. I'm a software engineer, so the work wasn't terribly difficult. I did find it a decent academic intro to the subject matter. ","{'cours': ['Course'], 'softwar engin': ['software engineer'], 'work': ['work'], 'intro': ['intro'], 'matter': ['matter']}"
2112,"Clear materials, good examples, good pace, well thought through assignments.Prof did a great job!Thank you.","{'materi': ['materials'], 'exampl': ['examples'], 'pace': ['pace'], 'assignments.prof': ['assignments.Prof'], 'job!thank': ['job!Thank']}"
2113,Good Quick Ad contains sufficient topics for a beginner.,"{'ad': ['Ad'], 'topic': ['topics'], 'beginn': ['beginner']}"
2114,"Excellent course, good teacher, good lessons, a lot of new things!","{'cours': ['course'], 'teacher': ['teacher'], 'lesson': ['lessons'], 'lot': ['lot'], 'thing': ['things']}"
2115,Good introduction course.,{'introduct cours': ['introduction course']}
2116,This was a great course that taught the basics of web development. The professor explained the concepts really well and in an easy-to-understand way.,"{'cours': ['course'], 'basic': ['basics'], 'web develop': ['web development'], 'professor': ['professor'], 'concept': ['concepts'], 'way': ['way']}"
2117,I really liked the way it was taught. I could skip through the areas I was competent. Helped me fill the gaps. I strongly recommend this course. ,"{'way': ['way'], 'area': ['areas'], 'gap': ['gaps'], 'cours': ['course']}"
2118,I think this is the best course for everybody who wants to learn basics about web development. These assignments are interesting and help the student more understanding your the knowledge.,"{'cours': ['course'], 'everybodi': ['everybody'], 'basic': ['basics'], 'web develop': ['web development'], 'assign': ['assignments'], 'student': ['student'], 'knowledg': ['knowledge']}"
2119,"Excellent introduction, with very apt assignments.","{'introduct': ['introduction'], 'assign': ['assignments']}"
2120,This is a very good course; got me started on the path of web development. The lessons and explanation were very good and clear. Thanks.,"{'cours': ['course'], 'path': ['path'], 'web develop': ['web development'], 'lesson': ['lessons'], 'explan': ['explanation'], 'thank': ['Thanks']}"
2121,The grading is kinda problematic because you can just grade with 1 or 0 nothing in between. Also for the assignments it is hard sometimes to figure out how to solve the problems and external materials are needed.The professor is really good though and so are the lectures!!!!,"{'grade': ['grading', 'grade'], 'kinda': ['kinda'], 'assign': ['assignments'], 'problem': ['problems'], 'materi': ['materials'], 'needed.th professor': ['needed.The professor']}"
2122,Loved it,{}
2123,Good course,{'cours': ['course']}
2124,Excellent course but it moves very fast! Stay caught up with the work and you will do good!,"{'cours': ['course'], 'stay': ['Stay'], 'work': ['work']}"
2125,Excellent Course not just for beginners! You should have little programming experience before. Learnt a lot about DOM in javascript which helped me in my current job.,"{'cours': ['Course'], 'beginn': ['beginners'], 'program experi': ['programming experience'], 'lot': ['lot'], 'dom': ['DOM'], 'javascript': ['javascript'], 'job': ['job']}"
2126,Great course. Looking forward to start other courses from whole specialization. Fantastic work.,"{'cours': ['course', 'courses'], 'special': ['specialization'], 'work': ['work']}"
