,comment,target
120,"It was quite educating and challenging, it made me explore other coding options and see the importance of commenting my work.","{'option': ['options'], 'import': ['importance'], 'work': ['work']}"
121,Thank you!! ,{}
122,"Good course but I think it is better for peaple with some programming background and be prepered for third week, it is lot to do.","{'cours': ['course'], 'peapl': ['peaple'], 'program background': ['programming background'], 'week': ['week'], 'lot': ['lot']}"
123,"a good course for a very beginner to learn android programing.it covers many useful aspects about java.and this course has demonstrated most of the idea of coding,so you won't get confused by its concept. ","{'cours': ['course'], 'beginn': ['beginner'], 'aspect': ['aspects'], 'java.and': ['java.and'], 'idea': ['idea'], 'concept': ['concept']}"
124,"Excellent course, it helped me reinforce my Java knowledge and learn the basis of Android development through many specialized tasks which I completed easily thanks to the hight quality professors and very detailed lessons.","{'cours': ['course'], 'java knowledg': ['Java knowledge'], 'basi': ['basis'], 'develop': ['development'], 'task': ['tasks'], 'thank': ['thanks'], 'qualiti professor': ['quality professors'], 'lesson': ['lessons']}"
125,Great course!,{'cours': ['course']}
126,"This is basic course of Java applied not only for Android development. At the beginning of this course you don't need to know anything about java, but step by step you will find out basics and going to know OOP fundamentals. In my opinion third week is the hardest one, but everything is possible to do. Great course.","{'cours': ['course'], 'java': ['java', 'Java'], 'develop': ['development'], 'begin': ['beginning'], 'basic': ['basics'], 'oop fundament': ['OOP fundamentals'], 'opinion': ['opinion'], 'week': ['week'], 'everyth': ['everything']}"
127,"Very complete course to learn OOP programing, JAVA and basics on Android Studio IDE.","{'cours': ['course'], 'oop program': ['OOP programing'], 'java': ['JAVA'], 'basic': ['basics'], 'android studio ide': ['Android Studio IDE']}"
128,Very helpful!,{}
129,Excellent course. The video lessons were really informative. The assignments given every week were fun to do and also tested your skills. ,"{'cours': ['course'], 'video lesson': ['video lessons'], 'assign': ['assignments'], 'week': ['week'], 'fun': ['fun'], 'skill': ['skills']}"
130,Anexceptionally well designed course. Instructors are very helpfull too.,"{'cours': ['course'], 'instructor': ['Instructors']}"
131,amazing experience.I love this course and I am absolutely satisfied with my choice.,"{'experience.i love': ['experience.I love'], 'cours': ['course'], 'choic': ['choice']}"
132,Pretty much code assignments help to understanding the concepts. Quite good for beginners.,"{'pretti': ['Pretty'], 'assign': ['assignments'], 'concept': ['concepts'], 'beginn': ['beginners']}"
