,comment,target
58,"I sincerely enjoyed this course. The instructor was clear, concise, and obviously passionate about the subject matter. I appreciate that reading materials were complimentary to the videos. I can say I actually walked away with information I can apply to my career. I gained a new perspective about usability testing and implementation that I will be employing in my network authentication practices and policy development.","{'cours': ['course'], 'instructor': ['instructor'], 'matter': ['matter'], 'materi': ['materials'], 'video': ['videos'], 'inform': ['information'], 'perspect': ['perspective'], 'usabl test': ['usability testing'], 'implement': ['implementation'], 'network authent practic': ['network authentication practices'], 'polici develop': ['policy development']}"
59,thanks for the lectures. the best so farvery informative. never knew system designers have to go through a lot to make it usable. wow now am a system designer ,"{'thank': ['thanks'], 'system design': ['system designer', 'system designers'], 'lot': ['lot'], 'wow': ['wow']}"
60,amazing course and i would recommend it for others for sure,"{'cours': ['course'], 'other': ['others']}"
61,If there were some Powerpoint slides in the course memorising would have been easier. Thanks a lot.,"{'powerpoint slide': ['Powerpoint slides'], 'cours': ['course'], 'thank': ['Thanks'], 'lot': ['lot']}"
62,Good Course. But has many generic stuffs. We will get to know about most of the security details that we come across our day today life,"{'cours': ['Course'], 'stuff': ['stuffs'], 'secur detail': ['security details'], 'day': ['day'], 'today life': ['today life']}"
63,Excellent introductory course for increasing your usability and security in soft,"{'cours': ['course'], 'usabl': ['usability'], 'secur': ['security']}"
64,Great course!Very interesting and very ingaging content I would go so far as to say very usable ,"{'course!veri': ['course!Very'], 'content': ['content']}"
65,Is an excellent course.,{'cours': ['course']}
66,This is the first course that will only let you grade the quiz if you purchase the course. Highly disappointed...,{'cours': ['course']}
67,Great course! Very intriguing insights regarding security. So many of my 'myths' got busted.,"{'cours': ['course'], 'insight': ['insights'], 'secur': ['security'], 'myth': ['myths']}"
68,Jen covers the material well but it isn't the most technical,"{'jen': ['Jen'], 'materi': ['material']}"
69,It was really good on content part. I really like the course material. It is going to help me in my current organization project development work. At the same time i want to explore other available courses on cyber security.,"{'part': ['part'], 'cours materi': ['course material'], 'project develop work': ['project development work'], 'time': ['time'], 'cours': ['courses'], 'cyber secur': ['cyber security']}"
70,"I love this course, I have learn a lot!","{'cours': ['course'], 'lot': ['lot']}"
71,"I've learned a lot in this course about usability. It focuses more on the user and creating a system that works best for the user, rather than the designer. I've also learned how to create better passwords that are more secure and user-friendly. I would recommend this course to anyone.","{'lot': ['lot'], 'cours': ['course'], 'usabl': ['usability'], 'user': ['user'], 'system': ['system'], 'design': ['designer'], 'password': ['passwords'], 'anyon': ['anyone']}"
72,I think this course was worth taking an I thoroughly enjoyed through every bit of the lessons.,"{'cours': ['course'], 'bit': ['bit'], 'lesson': ['lessons']}"
73,this course helped me to understand designing and usability,"{'cours': ['course'], 'usabl': ['usability']}"
74,"A totally new insights to security. Since I am a Software Engineer student this concepts are going to prove invaluable in my future tasks. Great tutor and Coursera support, love it.","{'insight': ['insights'], 'secur': ['security'], 'softwar engin student': ['Software Engineer student'], 'concept': ['concepts'], 'task': ['tasks'], 'tutor': ['tutor'], 'coursera support': ['Coursera support']}"
75,"This course have very little to do with actual security. Most of the time you will hear about how to design applications, and what is a good design policy.","{'cours': ['course'], 'secur': ['security'], 'time': ['time'], 'design polici': ['design policy']}"
76,Wonderful concepts presented beautifully. If every software developer take this course; ,"{'concept': ['concepts'], 'softwar develop': ['software developer'], 'cours': ['course']}"
77,"Very excellent course module for usable security, real time examples makes students understand easily.","{'cours modul': ['course module'], 'secur': ['security'], 'time exampl': ['time examples'], 'student': ['students']}"
78,It is one course which should done by each and every one who is using the computer as it talks about daily security problems and this course will let every one aware about how to keep there password and at what duration User should Change there password to keep there System Secure.,"{'cours': ['course'], 'comput': ['computer'], 'secur problem': ['security problems'], 'password': ['password'], 'durat user': ['duration User'], 'chang': ['Change'], 'system secur': ['System Secure']}"
79,"I like it, but i feel that sometimes need more examples o dynamic",{'exampl o dynam': ['examples o dynamic']}
80,"Good explanations and detailed. Interesant concepts, developed in a comfortable way.","{'explan': ['explanations'], 'concept': ['concepts'], 'way': ['way']}"
81,This course and the Professor are awesome.,"{'cours': ['course'], 'professor': ['Professor']}"
82,Great insight about security and security system design.,"{'insight': ['insight'], 'secur': ['security'], 'secur system design': ['security system design']}"
83,Excellent Course. ,{'cours': ['Course']}
84,Found it very useful. The content is articulated very well and is substantiated with research work &amp; survey. This gives me a way to objectively assess system from security point of view,"{'content': ['content'], 'research work': ['research work'], 'survey': ['survey'], 'way': ['way'], 'system': ['system'], 'secur point': ['security point'], 'view': ['view']}"
85,Very useful content that can be used in our workplaces,"{'content': ['content'], 'workplac': ['workplaces']}"
86,"Great exposition of didactic and interactive readings and materials. I was not dissappointed, and as the course advanced, so did the difficulty, i happenned to have a base on the subject, but it was an enjoyable and sometimes funny learning experience.","{'exposit': ['exposition'], 'read': ['readings'], 'materi': ['materials'], 'cours': ['course'], 'difficulti': ['difficulty'], 'base': ['base'], 'subject': ['subject'], 'learn experi': ['learning experience']}"
87,Good interesting course. Good lecturer. But course shoud covet more information because it's a little bit easy. ,"{'cours': ['course'], 'lectur': ['lecturer'], 'cours shoud': ['course shoud'], 'inform': ['information'], 'bit': ['bit']}"
88,"This is a basic overview of security issues and user input for web sites, etc. It focuses on design, usability and other issues that affect how people interact with security log-in and other issues.It's a good foundation for looking at your or other's work and knowing the best way for the computer to interact with a user. ","{'overview': ['overview'], 'secur issu': ['security issues'], 'user input': ['user input'], 'web site': ['web sites'], 'design': ['design'], 'usabl': ['usability'], 'issu': ['issues'], 'peopl': ['people'], 'secur log-in': ['security log-in'], 'issues.it': ['issues.It'], 'foundat': ['foundation'], 'work': ['work'], 'way': ['way'], 'comput': ['computer'], 'user': ['user']}"
89,"this course is cool but not hard enough i think, it should cover more materials and it should be harder. ","{'cours': ['course'], 'materi': ['materials']}"
90,"Its level increases gradually, the lectures have been explained in a lucid manner and there is a lot to gain from this course","{'manner': ['manner'], 'lot': ['lot'], 'cours': ['course']}"
91,"I think this was a very well-thought out course. In my opinion, it was well presented, contained very useful information, was accessible to someone with a limited background in cybersecurity, and used plenty of real examples to back-up its claims. An area that could use improvement is testing some of the quizzes provided questions that seemed hard to follow, particularly the choose ","{'cours': ['course'], 'opinion': ['opinion'], 'inform': ['information'], 'someon': ['someone'], 'background': ['background'], 'cybersecur': ['cybersecurity'], 'plenti': ['plenty'], 'exampl': ['examples'], 'area': ['area'], 'improv': ['improvement'], 'quizz': ['quizzes'], 'question': ['questions']}"
92,Interesting topics and some very good case studies. But overall I found the course a little repetitive and lacking technical depth.,"{'topic': ['topics'], 'case studi': ['case studies'], 'cours': ['course'], 'depth': ['depth']}"
93,"Good introduction to the general security of UX design and experience. Remember this is just the start. Not too technical or difficult, quite easy to be honest. ","{'introduct': ['introduction'], 'secur': ['security'], 'ux design': ['UX design'], 'experi': ['experience']}"
