,comment,target
36,Again the explanation and representation was good.3.5-4 stars for some Data Structures and their performance. Few basic ideas and introduction about the gui of the project would make it 5stars. ,"{'explan': ['explanation'], 'represent': ['representation'], 'star': ['stars'], 'data structur': ['Data Structures'], 'perform': ['performance'], 'idea': ['ideas'], 'introduct': ['introduction'], 'gui': ['gui'], 'project': ['project'], '5star': ['5stars']}"
37,very Good,{}
38,Content is well organised and explanation is really very good,"{'content': ['Content'], 'explan': ['explanation']}"
39,best than first part,{'part': ['part']}
40,Nice Job!Thanks for the course!,"{'job!thank': ['Job!Thanks'], 'cours': ['course']}"
41,"It's really well made, everyone who took this course should be very proud of the program they made during those weeks.","{'everyon': ['everyone'], 'cours': ['course'], 'program': ['program'], 'week': ['weeks']}"
42,"Very good course, well taught by the instructors.","{'cours': ['course'], 'instructor': ['instructors']}"
43,Really good to learn and implement data structures and algorithms through project,"{'data structur': ['data structures'], 'algorithm': ['algorithms'], 'project': ['project']}"
44,Thank you.,{}
45,Too much information in the StarterCode t,"{'inform': ['information'], 'startercod t': ['StarterCode t']}"
46,Good one. Nicely paced. Necessary challenge included..,{'challeng': ['challenge']}
47,wonderful,{}
48,Excellent explaination,{'explain': ['explaination']}
49,Best online course I have taken to date.,"{'cours': ['course'], 'date': ['date']}"
50,Covers basics well. The video lectures are easy and simple to understand. Liked the assignments and they covered the learned content well. ,"{'basic': ['basics'], 'video': ['video'], 'assign': ['assignments'], 'content': ['content']}"
51,Thank you!Please keep up the good work.,"{'you!pleas': ['you!Please'], 'work': ['work']}"
52,This is awesome!,{}
53,"Brilliant course. Learnt a lot about Data Structures like Trees, Tries, HashMaps etc. The best part was implementing the back-end for the text-editor project. Highly recommend it.","{'cours': ['course'], 'lot': ['lot'], 'data structur': ['Data Structures'], 'tree': ['Trees'], 'part': ['part'], 'text-editor project': ['text-editor project']}"
54,"Great course overall. Excellent, well compiled set of lectures and assignments.","{'cours': ['course'], 'set': ['set'], 'assign': ['assignments']}"
55,It was amazing,{}
56,"its very basic stuff , and uses not optimal solutions to coding challenges , which might be okay for basics , for example the spelling check suggestion project algorithm is probably exponential in time complexity ","{'stuff': ['stuff'], 'solut': ['solutions'], 'challeng': ['challenges'], 'basic': ['basics'], 'exampl': ['example'], 'suggest project algorithm': ['suggestion project algorithm'], 'time': ['time'], 'complex': ['complexity']}"
57,"Amazing course, I learnt so much about interesting data structures and gained a new understanding of how important it is to choose the right data structure for a specific purpose.","{'cours': ['course'], 'data structur': ['data structures', 'data structure'], 'understand': ['understanding'], 'purpos': ['purpose']}"
58,"Grate course, really interesting and useful especially Algorithms.Assignments are organized very smart way it really motivates to go deeper.Thanks University of California San Diego for creating this course on coursera.org and make it available for online study!","{'grate cours': ['Grate course'], 'way': ['way'], 'deeper.thank univers': ['deeper.Thanks University'], 'cours': ['course'], 'coursera.org': ['coursera.org'], 'studi': ['study']}"
59,Could be more challenging. But I really enjoyed the course!!! Highly recommended for anyone who wants to learn java and data structures.,"{'cours': ['course'], 'anyon': ['anyone'], 'data': ['data'], 'java structur': ['java structures']}"
60,"Very good course, I learned a lot!","{'cours': ['course'], 'lot': ['lot']}"
61,Excellent Course. This includes useful Data Structures. The Programming assignments are helpful. The instructors have done well to explain the concepts clearly.,"{'cours': ['Course'], 'data structur': ['Data Structures'], 'program assign': ['Programming assignments'], 'instructor': ['instructors'], 'concept': ['concepts']}"
62,5 start course,{'start cours': ['start course']}
63,"wonderful course, most beautiful is the application","{'cours': ['course'], 'applic': ['application']}"
64,"I love this class. There are a couple of data structure classes in Coursera and i think this class fits me the most. I like that it teaches data structures and how to use them in the real world. So, you will be building actual programs with the data structures you learn It skips alot of the math stuff and I love it because i am not trying to be a real computer scientist I dont need to know how to write a math proof on how a algorithm works what not. Maybe in the future when i want to do research, but as of right now, I just want to build cool software and have fun.","{'class': ['class'], 'data structur class': ['data structure classes'], 'coursera': ['Coursera'], 'data structur': ['data structures'], 'world': ['world'], 'program': ['programs'], 'math stuff': ['math stuff'], 'comput scientist': ['computer scientist'], 'algorithm': ['algorithm'], 'futur': ['future'], 'softwar': ['software'], 'fun': ['fun']}"
65, Good course! ,{'cours': ['course']}
66,"It was really a very good course, you can learn many data structures and its implementations along with programing assignments and quizes which are quite challenging. The idea of concept challenge was awesome. You could learn performing efficiency of the algorithms, benchmarking, linked lists trees hashmaps and other data structures. ","{'cours': ['course'], 'data structur': ['data structures'], 'implement': ['implementations'], 'assign': ['assignments'], 'quiz': ['quizes'], 'idea': ['idea'], 'concept challeng': ['concept challenge'], 'effici': ['efficiency'], 'algorithm': ['algorithms'], 'list tree hashmap': ['lists trees hashmaps']}"
67,"Fantastic, enjoying and challenging.",{}
68,"good course,i get much knowledges about java","{'cours': ['course'], 'knowledg': ['knowledges'], 'java': ['java']}"
69,Thanks,{'thank': ['Thanks']}
70,Excellent course continuing the tradition set from the first in the sequence. ,"{'cours': ['course'], 'tradit': ['tradition'], 'sequenc': ['sequence']}"
71,"The course gives you understanding of basic data structures, how they implemented and show their usage in real life. ","{'cours': ['course'], 'understand': ['understanding'], 'data structur': ['data structures'], 'life': ['life']}"
72,"Wow, I learned way beyond expectations!",{'way': ['way']}
73,awesome,{}
