,comment,target
123,"The specialization has a good quality on average. I started doing this course immediately after it went open. I had a feeling that the quality of the course went down questions were often unclear and it took time to figure out what is expected as an answer However, many problems were solved quite fast and teaching stuff is really helpful. I still would like to see more about MapReduce in-depth in this course. I did not have a feeling that it was covered sufficiently only theory, no hands-on material In general, hands-on material was great and useful.","{'special': ['specialization'], 'qualiti': ['quality'], 'averag': ['average'], 'cours': ['course'], 'question': ['questions'], 'time': ['time'], 'problem': ['problems'], 'stuff': ['stuff'], 'theori': ['theory'], 'materi': ['material']}"
124,"Very nice course, and a great grasp on clustering techniques. If I could just suggest something to improve, it would be the section on LDA and Gibbs it's very high level and it would be really nice to have some more technical insights on those techniques perhaps with optional sections, as for other topics ","{'cours': ['course'], 'grasp': ['grasp'], 'cluster techniqu': ['clustering techniques'], 'section': ['sections', 'section'], 'lda': ['LDA'], 'gibb': ['Gibbs'], 'level': ['level'], 'insight': ['insights'], 'techniqu': ['techniques'], 'topic': ['topics']}"
125,"Great course. Some week were tough others too easy, but general a very interesting course.","{'cours': ['course'], 'week': ['week'], 'other': ['others']}"
126,"I found this Course less well prepared than the previous 3 modules. Misleading hints in the assignments, code errors, etc... Also, I found the amount of work required higher, which is not in itself a bad thing, just a bit unexpected.","{'cours': ['Course'], 'modul': ['modules'], 'hint': ['hints'], 'assign': ['assignments'], 'code error': ['code errors']}"
127,Great! ,{}
128,"Good class, But it would be much better if the quiz is open to those who doesn't pay.","{'class': ['class'], 'quiz': ['quiz']}"
129,"please rework in particular week 5, part 2","{'week': ['week'], 'part': ['part']}"
130,Another great introduction. The assignments are notably a little bit harder than the previous courses.,"{'introduct': ['introduction'], 'assign': ['assignments'], 'bit': ['bit'], 'cours': ['courses']}"
131,"I loved the previous 3 courses and what I saw in this course so far seems pretty interesting. I'm really sad that Coursera decided to block access to assignments for not paying users. I really wanted to continue with the specialization but I already purchased another specialization, so I'm going to have to put this course on hold for a now. ","{'cours': ['course', 'courses'], 'access': ['access'], 'assign': ['assignments'], 'user': ['users'], 'special': ['specialization'], 'hold': ['hold']}"
132,Not for the faint of heart but this course does a really good job of explaining clustering and retrieval of images and text. It includes several programming assignments which can be tackled with minimal programming experience if one perseveres.,"{'heart': ['heart'], 'cours': ['course'], 'job': ['job'], 'cluster': ['clustering'], 'retriev': ['retrieval'], 'imag': ['images'], 'text': ['text'], 'program assign': ['programming assignments'], 'program experi': ['programming experience'], 'persever': ['perseveres']}"
133,Another great course. Strongly recommend!,{'cours': ['course']}
134,Good course. Learned a lot from it. Thanks!,"{'cours': ['course'], 'lot': ['lot'], 'thank': ['Thanks']}"
135,This course was great! With good code examples and algorithm applications and also intuition!It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project! ,"{'cours': ['course', 'courses'], 'code exampl': ['code examples'], 'algorithm applic': ['algorithm applications'], 'schedul': ['schedules'], 'instructor': ['instructors'], 'capston project': ['capstone project']}"
136,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine.,"{'cours': ['course'], 'stuff': ['stuffs'], 'analysi': ['analysis'], 'topic': ['topic'], 'part': ['part'], 'lda': ['LDA'], 'graphlab user': ['GraphLab users'], 'fallback': ['fallback'], 'rest': ['rest'], 'everyth': ['everything']}"
137,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible,"{'cluster': ['Clustering'], 'retriev': ['Retrieval'], 'lot': ['lot'], 'cours': ['course', 'courses'], 'regress': ['regression'], 'classif': ['classification'], 'match concept': ['match concepts'], 'emili': ['Emily']}"
138,awesome course!,{'cours': ['course']}
139,"sometimes difficult,but import so many useful knowledge","{'import': ['import'], 'knowledg': ['knowledge']}"
140,very good! strongly recommend to people who want to start a career on data science or are interested in it,{'peopl': ['people']}
141,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well,"{'teacher': ['teachers'], 'book': ['book'], 'concept': ['concepts']}"
142,Overall is great. The LDA and Dendrograms lack quality specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6.,"{'lda': ['LDA'], 'dendrogram': ['Dendrograms'], 'qualiti specif': ['quality specificity'], 'depth': ['depth'], 'topic': ['topics'], 'special': ['Specialization'], 'cours': ['courses']}"
143,This course was my first encounter with Machine Learning! The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data! ,"{'cours': ['course'], 'encount': ['encounter'], 'machin learn': ['Machine Learning'], 'understand': ['understanding'], 'ml algorithm': ['ML algorithms'], 'cluster': ['clustering'], 'retriev': ['retrieval'], 'data': ['data']}"
144,Very nice course. Concepts are covered very clearly.,"{'cours': ['course'], 'concept': ['Concepts']}"
145,E,{}
146," Really a good course, succinct and concise. ",{'cours': ['course']}
147,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing","{'cours': ['course'], 'machin learn': ['machine learning'], 'middl': ['middle'], 'learn': ['learning'], 'recommend system': ['Recommender System'], 'deep learn capston': ['Deep Learning Capstone']}"
148,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great! Thanks.,"{'cours': ['course'], 'thank': ['Thanks']}"
149,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled! ,"{'cours': ['course', 'Course'], 'background': ['background'], 'tool': ['tools'], 'cluster': ['clustering']}"
150,Should use pandas instead of Graph Lab Create,"{'panda': ['pandas'], 'graph lab': ['Graph Lab']}"
151,Good and deep dive into ML!Absolutely disappointed that the course was delayed and the promise to take it through Course 5 and Capstone Project didn't come through.Not at all happy with that!! ,"{'dive': ['dive'], 'ml!absolut': ['ML!Absolutely'], 'cours': ['course', 'Course'], 'promis': ['promise'], 'capston project': ['Capstone Project'], 'through.not': ['through.Not']}"
152,"A great course as the other 3 courses in the specialization.This course introduces and make us implement Knn,Kd trees,Gaussian Mixture model and LDA model for clustering and retrieval.The data set is the peoples wiki from the Foundations course and theres a assignment on clustering images too.If you have taken the other 3 an do this with ease and if you haven't taken those i think it will be better to take this course after the other 3.","{'cours': ['course', 'courses'], 'specialization.thi cours': ['specialization.This course'], 'gaussian mixtur model': ['Gaussian Mixture model'], 'lda model': ['LDA model'], 'retrieval.th': ['retrieval.The'], 'peopl': ['peoples'], 'foundat cours': ['Foundations course'], 'assign': ['assignment'], 'eas': ['ease']}"
153,Excellent course! Thanks a lot for the effort in compiling this course... I really enjoyed it!,"{'cours': ['course'], 'thank': ['Thanks'], 'lot': ['lot']}"
154,"Dependence on GraphLab technology is a big minus. The lectures are poorly balanced in terms of difficulty. Apart from that - interesting course, I'm glad I took it.","{'depend': ['Dependence'], 'graphlab technolog': ['GraphLab technology'], 'minus': ['minus'], 'term': ['terms'], 'difficulti': ['difficulty'], 'cours': ['course']}"
155,"The material is complex and challenging, but the teaching procedure is carefully thought out in a way that you quickly get it, giving you a great sense of accomplishment.","{'materi': ['material'], 'way': ['way'], 'sens': ['sense'], 'accomplish': ['accomplishment']}"
156, Excellent Course!!! ,{'cours !!': ['Course !!']}
157,"Very sophisticated, friendly and practical instructions",{'instruct': ['instructions']}
158,Enjoyed the course and learned a lot. Amazing! ,"{'cours': ['course'], 'lot': ['lot']}"
159,awesome clustering course,{'cluster cours': ['clustering course']}
160, This specialization is delayed for months now - very annoying! Don't give them money! ,"{'special': ['specialization'], 'month': ['months']}"
161,Great course but hard going at times for those of us without a strong maths background. The assignments took me a long time to complete and I think I'll have to revisit some areas as I become more familiar with them to really get the full benefit.,"{'cours': ['course'], 'time': ['time', 'times'], 'math background': ['maths background'], 'assign': ['assignments'], 'benefit': ['benefit']}"
162,"I am taking all courses in the specialization, and this is my fourth. I have been having a great time with materials by both instructors so far, until I came to week 5 of this course.Despite repeated viewing, my understanding of LDA is non-existent. The first section is fine, but starting from Bayesian inference via Gibbs sampling, for me at least, the method of instruction has gone off a cliff.I strongly suggest soliciting feedback from learners that narrowly targets the material of this week 5 to determine if it's just me or if this is a wider problem. If it is the latter, perhaps it is time to redesign the lessons of this week.","{'cours': ['courses'], 'special': ['specialization'], 'time': ['time'], 'materi': ['material', 'materials'], 'instructor': ['instructors'], 'week': ['week'], 'understand': ['understanding'], 'lda': ['LDA'], 'section': ['section'], 'infer': ['inference'], 'gibb sampl': ['Gibbs sampling'], 'method': ['method'], 'instruct': ['instruction'], 'cliff.i': ['cliff.I'], 'feedback': ['feedback'], 'learner': ['learners'], 'problem': ['problem'], 'lesson': ['lessons']}"
163,great.,{}
164,VERY IMPRESSIVE COURSE,{'cours': ['COURSE']}
165,This course contain many advance topic which was covered in fast pace by the professor special end lectures. This course contain very important topics of Machine learning could have given more time in explaining things. Thanks professor ,"{'cours': ['course'], 'advanc topic': ['advance topic'], 'pace': ['pace'], 'professor end': ['professor end'], 'topic': ['topics'], 'machin learn': ['Machine learning'], 'time': ['time']}"
166,Excellent course ,{'cours': ['course']}
167,It is explained in simple and lucid language by expert Emily and codes illustrated by Carlos. Go for it.,"{'languag': ['language'], 'expert emili': ['expert Emily'], 'code': ['codes'], 'carlo': ['Carlos']}"
168,It's an amazing Course.,{'cours': ['Course']}
169,So Much Concepts to learn and totally worth it!,{'concept': ['Concepts']}
170,"This was probably the most challenging course of them all, I thoroughly enjoyed it! Looking forward to dimensionality reduction and the capstone. ","{'cours': ['course'], 'dimension reduct': ['dimensionality reduction'], 'capston': ['capstone']}"
171,"Thank you, it was a good one",{}
