,comment,target
181,"The course is pretty good, but not mobile friendly course since the font size becomes way too small for visibility. Hence learning is not possible while travelling by train car to utilize unproductive time.Otherwise, content-wise it is pretty good.","{'cours': ['course'], 'font size': ['font size'], 'way': ['way'], 'visibl': ['visibility'], 'time.otherwis': ['time.Otherwise']}"
182,One could learn as much from any of many texts. This course does not add value,"{'text': ['texts'], 'cours': ['course'], 'valu': ['value']}"
183,The course is amazing and is a must recommend to the one's who are just starting out learning python. This course would successfully launch your from knowledge zero to a stage from which you can understand the later complexities that are involved in developing complex applications using python.,"{'cours': ['course'], 'python': ['python'], 'knowledg': ['knowledge'], 'stage': ['stage'], 'complex': ['complexities']}"
184,Very straight forward course with easy to follow instructions. The autograder takes some getting used to. Make sure there are no additional lines at the end of your code and make sure everything is precisely copied for your output.,"{'cours': ['course'], 'instruct': ['instructions'], 'autograd': ['autograder'], 'line': ['lines'], 'end': ['end'], 'code': ['code'], 'everyth': ['everything'], 'output': ['output']}"
185,Enjoyed greatly. The videos are straight to the point and concepts explained well. Perfect for beginners looking to learn python.,"{'video': ['videos'], 'point': ['point'], 'concept': ['concepts'], 'perfect': ['Perfect'], 'beginn': ['beginners'], 'python': ['python']}"
186,"I like the course design, it's efficient and productive. ",{'cours design': ['course design']}
187,"Very Nice! I think it's really a good introduction to use python!Maybe one problem is that homework in lesson 2 or 3 I forgot contain random.seed, that is explained in lesson four's video, but one can always google it.","{'introduct': ['introduction'], 'python!mayb problem': ['python!Maybe problem'], 'homework': ['homework'], 'lesson': ['lesson'], 'lesson video': ['lesson video']}"
188,"Simple, straight-to-the-point course.",{'cours': ['course']}
189,"too easy, but fit the title of this course",{'cours': ['course']}
190,A great first class,{'class': ['class']}
191,"The course was very well structured. When I needed support once, I got valuable feedback within a couple of hours it was over the weekend! The only thing I didn't like was the low image resolution of the videos. Even on a big screen, I sometimes found it hard to read the code.","{'cours': ['course'], 'support': ['support'], 'feedback': ['feedback'], 'coupl': ['couple'], 'weekend': ['weekend'], 'thing': ['thing'], 'imag resolut': ['image resolution'], 'video': ['videos'], 'screen': ['screen'], 'code': ['code']}"
192,Clear and helpful introduction to the 'Swiss army' knife of programming.,"{'introduct': ['introduction'], 'armi': ['army'], 'knife': ['knife'], 'program': ['programming']}"
