,comment,ratio
68,"Another super course. Though admittedly (for me at least) very difficult to make within the allotted time given for one period of the Course. Lots of advanced stuff that require substantial studies to really comprehend, i.e., it should never be enough just to hack &amp; run the code (that's the easier challenge). Still have a long washing list of topics coming out of this Course that I need (want) to understand better. But at least the background to do so is neatly provided here. So without further ado ... Applause!",0.614678899083
69,wonderful course for beginner of machine learning.,0.875
70,Excellent course. ,0.666666666667
71,"Some of the interesting topics discussed in this course could be treated substantially more extensive and detailed in order to get a better grip and understanding on them (e.g. Gibbs sampling). After this course, it is a bit dazzling how much different algorithms and methods are available for clustering and retrieval tasks and this course easily could have been subdivided into two or three separate courses on the same topic with a more detailed treatment. Still, about many interesting subjects a tip of the iceberg has been brought to you ... it tastes so good that you would like to have much more!",0.553571428571
72,"Amazing course, really helpful, as a ML researcher you need this kind of foundation",0.8125
73,"The best course in the specialization thus far. Very rich and wide ranging, perfect for the motivated part-time learner who wants to be challenged and have ample reason to revisit the material. I only wish this course had been longer, perhaps shortening the classification course to make room.",0.672727272727
74,a practical and interesting course about clustering and retrival,0.777777777778
75,"As someone very keen on math, more math background as optimal video would be more helpful. ",0.722222222222
76,Good course!,0.666666666667
77,Great! thanks,0.666666666667
78,Best Course.,0.666666666667
79,Excellent course,1.0
80,Very good course!,0.75
81,"Good survey of the material, but assignments are superficial and don't test thorough understanding.",0.777777777778
82,Worth the wait. COOL learning,0.833333333333
83,Best course I've taken!! :),0.5
84,Simply Amazing!,0.666666666667
85,"Following the overall quality of this Specialization, this course was excellent. From the content, to the assesments, material and teachers. This course is a really good starting point to become an expert in Machine Learning techniques.",0.642857142857
86,Awesome course! The session on EM algorithm is revealing!,0.818181818182
87,A little too superficial and hand waving.,0.875
88,"The last weeks, we went through the material a little bit too fast.",0.733333333333
89,the homework is getting easy,1.0
90,"This course has been an amazing experience. Congrats to you, Carlos and Emmy!",0.5625
91,Fantastic course as usual,1.0
92,"A perfect and balanced introduction to the subjects, adding theory and practice beautifully.",0.666666666667
93,"Like all the courses in this specialization so far, the material has been good. The reason for only 4 stars rather than 5 is the difficulty in getting questions answered in a timely manner. There don't seem to be any active mentors for this class.",0.607843137255
94,"excellent material! It would be nice, however, to mention some reading material, books or articles, for those interested in the details and the theories behind the concepts presented in the course. ",0.540540540541
95,This was AWESOME!,0.75
96,Great course like the others,0.8
97,"An interesting topic, presented well by the instructor and reinforced by intermediate-level programming assignments.",0.555555555556
98,Another great hit by Emily and Carlos!!! Excellent Course!!!,0.636363636364
99,Interesting content but explanations are less clear with respect to the other courses of the ML Specialization,0.764705882353
100,"Emily Fox did a great job in explaining tough concepts with simple explanation of the components in the formulas!! It's a little tough to get through the materials though, it's the 4th course in University of Washington's machine learning specialization afterall =) ",0.5
101,"This course started off easy, and became challenging in the last 3 weeks. But a lot of details were covered in the slides and also the forum helped deepen my understanding of the material, and I was able to get through the course. I enjoyed the course!",0.5
102,"This is the toughest courses in the specialization so far. But if you manage to complete it, you'll have some really advance skills under your belt. ",0.677419354839
103,"Yet another really excellent course in this series - the best online course I have ever taken. I really appreciate the fairly high level on which it is taught, and the speed with which they go through the material - it is not here to entertain or waste time, but to get straight to the point - what can I do, and how do I use open source tools to do it? ",0.623376623377
104,"I used to run into a wall at work trying to train models with recursive partitioning or neural nets because of the long time they took to train for high dimensional data. These clustering techniques are an immense help.Awesome course, with a brilliant instructor and brilliant assignments.",0.730769230769
105,"Still a very good course. Week 4 was very tough. The general concept can be understood from a 10,000 feet altitude but the lesson and programming assignment need to be reviewed, maybe with a slower step by step example.As some other student mentioned, it was... brutal.Other than that looking forward to the next course in the specialization!",0.579710144928
106,I did not understand LDA from the course materials.,0.7
107,"The course, and indeed the whole specialization, was advertised as not requiring the Graphlab Create toolkit. This is untrue, as the final programming assignment does require it. The general dependence on SFrame is understandable since it is open source, but requiring any interaction with a licensed product (even if temporary and research licenses are available) greatly negatively impacted my experience in this course. ",0.611111111111
108,Very good course. Too long interval between modules make hard for non-Python developers. Easy to forget some of the Python structures.,0.692307692308
109,Superb course!,0.666666666667
110,very nice lecture,1.0
111,Excellent course. Nice selection of algorithms reviewed - all clearly explained with sample implementations.,0.5625
112,less complex exercises to check and validate,0.857142857143
113,very good course but the last few topics could be improved with better assignments that could be broken down into smaller sub assignments,0.739130434783
114,very good course,1.0
115,Amazing.,0.5
116,This is the best course in ML - would recommend it ...the sequence of the courses is the best...the specialization in this ML is a career boost,0.5
117,"great course, but module 4 lacks a bit in structure. hard to follow. without the forum, it would not be possible to make it in time. ",0.677419354839
118,"Exceptional course! This is challenging material for me, but it's presented in such a coherent manner that you can't help but absorb it.",0.7
119,Sets a new benchmark for the specialization !!! A great offering on Machine Learning :),0.666666666667
120,This course rushed through the material at the end. ,0.8
121,Very good course nice practical approach. I was kind of surprised that hierarchical clustering was kept at the end and discussed only marginally since it is a widely used approach.I liked the part about LDA but IMHO I would have liked more discussion about fundamental techniques rather than such an advanced method.Too focus on text data. Most of the application I worked on have limited textual data.,0.675675675676
122,"The specialization has a good quality on average. I started doing this course immediately after it went open. I had a feeling that the quality of the course went down (questions were often unclear and it took time to figure out what is expected as an answer). However, many problems were solved quite fast and teaching stuff is really helpful. I still would like to see more about MapReduce in-depth in this course. I did not have a feeling that it was covered sufficiently (only theory, no hands-on material). In general, hands-on material was great and useful.",0.55652173913
123,"Very nice course, and a great grasp on clustering techniques. If I could just suggest something to improve, it would be the section on LDA and Gibbs: it's very high level and it would be really nice to have some more technical insights on those techniques (perhaps with optional sections, as for other topics).",0.587301587302
124,"Great course. Some week were tough others too easy, but general a very interesting course.",0.722222222222
125,"I found this Course less well prepared than the previous 3 modules. Misleading hints in the assignments, code errors, etc... Also, I found the amount of work required higher, which is not in itself a bad thing, just a bit unexpected.",0.571428571429
126,Great! ,0.5
127,"Good class, But it would be much better if the quiz is open to those who doesn't pay.",0.818181818182
128,"please rework in particular week 5, part 2",0.666666666667
129,Another great introduction. The assignments are notably a little bit harder than the previous courses.,0.705882352941
130,"I loved the previous 3 courses and what I saw in this course so far seems pretty interesting. I'm really sad that Coursera decided to block access to assignments for not paying users. I really wanted to continue with the specialization but I already purchased another specialization, so I'm going to have to put this course on hold for a now. ",0.536231884058
131,Not for the faint of heart but this course does a really good job of explaining clustering (and retrieval) of images and text. It includes several programming assignments which can be tackled with minimal programming experience if one perseveres.,0.697674418605
132,Another great course. Strongly recommend!,0.714285714286
133,Good course. Learned a lot from it. Thanks!,0.727272727273
134,This course was great! With good code examples and algorithm applications and also intuition!It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project! ,0.673913043478
135,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine.,0.742857142857
136,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible,0.6
137,awesome course!,0.666666666667
138,"sometimes difficult,but import so many useful knowledge",0.888888888889
139,very good! strongly recommend to people who want to start a career on data science or are interested in it,0.904761904762
140,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well,0.68
141,Overall is great. The LDA and Dendrograms lack quality/specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6.,0.516129032258
142,This course was my first encounter with Machine Learning! The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data! ,0.766666666667
143,Very nice course. Concepts are covered very clearly.,0.6
144,E,1.0
145," Really a good course, succinct and concise. ",0.777777777778
146,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing",0.739130434783
147,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great! Thanks.,0.75
148,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled! ,0.666666666667
149,Should use pandas instead of Graph Lab Create,0.875
150,Good and deep dive into ML!Absolutely disappointed that the course was delayed and the promise to take it through Course 5 and Capstone Project didn't come through.Not at all happy with that!! ,0.641025641026
151,"A great course as the other 3 courses in the specialization.This course introduces and make us implement Knn,Kd trees,Gaussian Mixture model and LDA model for clustering and retrieval.The data set is the peoples wiki from the Foundations course and theres a assignment on clustering images too.If you have taken the other 3 an do this with ease and if you haven't taken those i think it will be better to take this course after the other 3.",0.511111111111
152,Excellent course! Thanks a lot for the effort in compiling this course... I really enjoyed it!,0.684210526316
153,"Dependence on GraphLab technology is a big minus. The lectures are poorly balanced in terms of difficulty. Apart from that - interesting course, I'm glad I took it.",0.705882352941
154,"The material is complex and challenging, but the teaching procedure is carefully thought out in a way that you quickly get it, giving you a great sense of accomplishment.",0.75
155, Excellent Course!!! ,0.666666666667
156,"Very sophisticated, friendly and practical instructions",0.714285714286
157,Enjoyed the course and learned a lot. Amazing! ,0.7
158,awesome clustering course,1.0
159, This specialization is delayed for months now - very annoying! Don't give them money! ,0.666666666667
160,Great course but hard going at times for those of us without a strong maths background. The assignments took me a long time to complete and I think I'll have to revisit some areas as I become more familiar with them to really get the full benefit.,0.745098039216
161,"I am taking all courses in the specialization, and this is my fourth. I have been having a great time with materials by both instructors so far, until I came to week 5 of this course.Despite repeated viewing, my understanding of LDA is non-existent. The first section is fine, but starting from Bayesian inference via Gibbs sampling, for me at least, the method of instruction has gone off a cliff.I strongly suggest soliciting feedback from learners that narrowly targets the material of this week 5 to determine if it's just me or if this is a wider problem. If it is the latter, perhaps it is time to redesign the lessons of this week.",0.511278195489
162,great.,0.5
163,VERY IMPRESSIVE COURSE,1.0
164,This course contain many advance topic which was covered in fast pace by the professor special end lectures. This course contain very important topics of Machine learning could have given more time in explaining things. Thanks professor ,0.74358974359
165,Excellent course ,1.0
166,It is explained in simple and lucid language by expert Emily and codes illustrated by Carlos. Go for it.,0.52380952381
167,It's an amazing Course.,0.714285714286
168,So Much Concepts to learn and totally worth it!,0.8
169,"This was probably the most challenging course of them all, I thoroughly enjoyed it! Looking forward to dimensionality reduction and the capstone. ",0.76
170,"Thank you, it was a good one",0.875
171,Great course! Very simple and practical.,0.75
172,"The course dived into basic and advanced concepts of unsupervised learning. As before, Prof Fox did a great job at explaining things.",0.76
173,this is not a an easy course but certainly an awesome one ,0.916666666667
174,Excellent! Very good material and lectures and hands on. Really enriching.,0.571428571429
175,"Very good, not only learn many good ML concepts, but also polish my python programming skill a lot. Thank you, Emily and Carlos.",0.607142857143
